model,image,category,level,response,RT,seed
simulated,simulated,0,super,yes,87.43801011103504,1
simulated,simulated,0,super,yes,87.67137858248692,1
simulated,simulated,0,super,yes,87.5601459412451,1
simulated,simulated,0,super,yes,87.6591829937479,1
simulated,simulated,0,super,yes,87.59158754356892,1
simulated,simulated,0,super,yes,87.52014938538105,1
simulated,simulated,0,super,yes,87.68748120188373,1
simulated,simulated,0,super,yes,87.7382349106333,1
simulated,simulated,0,super,yes,87.57028610017589,1
simulated,simulated,0,super,yes,87.58944051753386,1
simulated,simulated,0,super,yes,87.57806524266768,1
simulated,simulated,0,super,yes,87.58536260492397,1
simulated,simulated,0,super,yes,87.69378590793784,1
simulated,simulated,0,super,yes,87.60231382041144,1
simulated,simulated,0,super,yes,87.59761534815608,1
simulated,simulated,0,super,yes,87.68492561341704,1
simulated,simulated,0,super,yes,87.56130664062282,1
simulated,simulated,0,super,yes,87.5728384566287,1
simulated,simulated,0,super,yes,87.54684899423752,1
simulated,simulated,0,super,yes,87.53034571094844,1
simulated,simulated,0,super,yes,87.6565426999795,1
simulated,simulated,0,super,yes,87.58746438397057,1
simulated,simulated,0,super,yes,87.6726539341038,1
simulated,simulated,0,super,yes,87.63662989421621,1
simulated,simulated,0,super,yes,87.77179629798758,1
simulated,simulated,0,super,yes,87.5454745646897,1
simulated,simulated,0,super,yes,87.6712056623586,1
simulated,simulated,0,super,yes,87.60152872839967,1
simulated,simulated,0,super,yes,87.63987988922256,1
simulated,simulated,0,super,yes,87.6588726723358,1
simulated,simulated,0,super,yes,87.6079740306865,1
simulated,simulated,0,super,yes,87.54409947510209,1
simulated,simulated,0,super,yes,87.5329564852198,1
simulated,simulated,0,super,yes,87.51677939641236,1
simulated,simulated,0,super,yes,87.58010891955469,1
simulated,simulated,0,super,yes,87.69676465278295,1
simulated,simulated,0,super,yes,87.63154955959538,1
simulated,simulated,0,super,yes,87.51858604029641,1
simulated,simulated,0,super,yes,87.56148256696957,1
simulated,simulated,0,super,yes,87.62080699583312,1
simulated,simulated,0,super,yes,87.59885722223493,1
simulated,simulated,0,super,yes,87.73624306043052,1
simulated,simulated,0,super,yes,87.65232976387577,1
simulated,simulated,0,super,yes,87.56410106964827,1
simulated,simulated,0,super,yes,87.64903880575915,1
simulated,simulated,0,super,yes,87.514318617764,1
simulated,simulated,0,super,yes,87.51812000922827,1
simulated,simulated,0,super,yes,87.66340518355555,1
simulated,simulated,0,super,yes,87.59906728926985,1
simulated,simulated,0,super,yes,87.61363265868509,1
simulated,simulated,0,super,yes,87.64103105518586,1
simulated,simulated,0,super,yes,87.62215529925865,1
simulated,simulated,0,super,yes,87.66803291576683,1
simulated,simulated,0,super,yes,87.5145668676601,1
simulated,simulated,0,super,yes,87.57006760488541,1
simulated,simulated,0,super,yes,87.55605975150505,1
simulated,simulated,0,super,yes,87.57661666892052,1
simulated,simulated,0,super,yes,87.50061519479267,1
simulated,simulated,0,super,yes,87.56890626982766,1
simulated,simulated,0,super,yes,87.56572655684954,1
simulated,simulated,0,super,yes,87.67112763241552,1
simulated,simulated,0,super,yes,87.55973458891819,1
simulated,simulated,0,super,yes,87.59688873720118,1
simulated,simulated,0,super,yes,87.60740478685307,1
simulated,simulated,0,super,yes,87.52281019489774,1
simulated,simulated,0,super,yes,87.5527534026209,1
simulated,simulated,0,super,yes,87.55605424260047,1
simulated,simulated,0,super,yes,87.60798399386225,1
simulated,simulated,0,super,yes,87.54376780716024,1
simulated,simulated,0,super,yes,87.55614804209733,1
simulated,simulated,0,super,yes,87.61321985594141,1
simulated,simulated,0,super,yes,87.62484408391595,1
simulated,simulated,0,super,yes,87.60171554241442,1
simulated,simulated,0,super,yes,87.59294809651831,1
simulated,simulated,0,super,yes,87.57173747178145,1
simulated,simulated,0,super,yes,87.55343405343403,1
simulated,simulated,0,super,yes,87.72713515226204,1
simulated,simulated,0,super,yes,87.51553638271328,1
simulated,simulated,0,super,yes,87.56517111134632,1
simulated,simulated,0,super,yes,87.57486328249553,1
simulated,simulated,0,super,yes,87.69433367686105,1
simulated,simulated,0,super,yes,87.6495798135481,1
simulated,simulated,0,super,yes,87.67193967260705,1
simulated,simulated,0,super,yes,87.6467263486447,1
simulated,simulated,0,super,yes,87.5711001358542,1
simulated,simulated,0,super,yes,87.62748069251664,1
simulated,simulated,0,super,yes,87.55461222866877,1
simulated,simulated,0,super,yes,87.64040347465203,1
simulated,simulated,0,super,yes,87.67660371689865,1
simulated,simulated,0,super,yes,87.64052726803455,1
simulated,simulated,0,super,yes,87.5244927988905,1
simulated,simulated,0,super,yes,87.59663597756642,1
simulated,simulated,0,super,yes,87.55831334496828,1
simulated,simulated,0,super,yes,87.57934177886702,1
simulated,simulated,0,super,yes,87.61351934385392,1
simulated,simulated,0,super,yes,87.59913236390597,1
simulated,simulated,0,super,yes,87.64858568891219,1
simulated,simulated,0,super,yes,87.57719317327808,1
simulated,simulated,0,super,yes,87.59701799752513,1
simulated,simulated,0,super,yes,87.63947661081617,1
simulated,simulated,0,super,yes,87.58601414539878,1
simulated,simulated,0,super,yes,87.65221544475375,1
simulated,simulated,0,super,yes,87.61206314958713,1
simulated,simulated,0,super,yes,87.55559860459306,1
simulated,simulated,0,super,yes,87.62194073766109,1
simulated,simulated,0,super,yes,87.5878863705851,1
simulated,simulated,0,super,yes,87.54573765030874,1
simulated,simulated,0,super,yes,87.65497188200193,1
simulated,simulated,0,super,yes,87.57499256140184,1
simulated,simulated,0,super,yes,87.6808491951046,1
simulated,simulated,0,super,yes,87.6432331282472,1
simulated,simulated,0,super,yes,87.59467911689495,1
simulated,simulated,0,super,yes,87.49648525865376,1
simulated,simulated,0,super,yes,87.55460841838506,1
simulated,simulated,0,super,yes,87.56308630650402,1
simulated,simulated,0,super,yes,87.49413450801138,1
simulated,simulated,0,super,yes,87.58007925291228,1
simulated,simulated,0,super,yes,87.55656960686119,1
simulated,simulated,0,super,yes,87.51993939164392,1
simulated,simulated,0,super,yes,87.56746849547972,1
simulated,simulated,0,super,yes,87.60074582644843,1
simulated,simulated,0,super,yes,87.65952755433673,1
simulated,simulated,0,super,yes,87.52020544360067,1
simulated,simulated,0,super,yes,87.57597581945934,1
simulated,simulated,0,super,yes,87.58790706118809,1
simulated,simulated,0,super,yes,87.57164221724614,1
simulated,simulated,0,super,yes,87.4962933800921,1
simulated,simulated,0,super,yes,87.5237576914191,1
simulated,simulated,0,super,yes,87.59823964570101,1
simulated,simulated,0,super,yes,87.63213012104185,1
simulated,simulated,0,super,yes,87.56085134754038,1
simulated,simulated,0,super,yes,87.57949435717853,1
simulated,simulated,0,super,yes,87.66386076361053,1
simulated,simulated,0,super,yes,87.49850409447869,1
simulated,simulated,0,super,yes,87.56353691867879,1
simulated,simulated,0,super,yes,87.62186811978137,1
simulated,simulated,0,super,yes,87.58343839642374,1
simulated,simulated,0,super,yes,87.59896007812185,1
simulated,simulated,0,super,yes,87.67358751263389,1
simulated,simulated,0,super,yes,87.55733506875838,1
simulated,simulated,0,super,yes,87.60946346452197,1
simulated,simulated,0,super,yes,87.56067293582437,1
simulated,simulated,0,super,yes,87.5449519313723,1
simulated,simulated,0,super,yes,87.61462346236645,1
simulated,simulated,0,super,yes,87.57251996854194,1
simulated,simulated,0,super,yes,87.57032368472468,1
simulated,simulated,0,super,yes,87.55196656409007,1
simulated,simulated,0,super,yes,87.57043684405119,1
simulated,simulated,0,super,yes,87.59138627597365,1
simulated,simulated,0,super,yes,87.6100006521085,1
simulated,simulated,1,super,yes,87.6006676998903,1
simulated,simulated,1,super,yes,87.67867080616665,1
simulated,simulated,1,super,yes,87.5368199509953,1
simulated,simulated,1,super,yes,87.62178714959796,1
simulated,simulated,1,super,yes,87.637329772683,1
simulated,simulated,1,super,yes,87.50784902070417,1
simulated,simulated,1,super,yes,87.57981205396374,1
simulated,simulated,1,super,yes,87.7179852374334,1
simulated,simulated,1,super,yes,87.57650108176713,1
simulated,simulated,1,super,yes,87.65328615549477,1
simulated,simulated,1,super,yes,87.55067340799364,1
simulated,simulated,1,super,yes,87.73305173907919,1
simulated,simulated,1,super,yes,87.59110630483192,1
simulated,simulated,1,super,yes,87.62522150397815,1
simulated,simulated,1,super,yes,87.56814883670054,1
simulated,simulated,1,super,yes,87.54644798375443,1
simulated,simulated,1,super,yes,87.56876183091832,1
simulated,simulated,1,super,yes,87.56524478131554,1
simulated,simulated,1,super,yes,87.64898462021152,1
simulated,simulated,1,super,yes,87.64924625736163,1
